"STORE","WORKDAY","DIVISION","DEPARTMENT","GRAND TOTAL","FIRST","FURTHER","FINAL","SALVAGE"
"T0812","MONDAY","BABY","30","14","0","2","4","8"
"T0812","MONDAY","ENTERTAINMENT","12","29","0","0","22","7"
"T0812","MONDAY","ENTERTAINMENT","59","5","4","1","0","0"
"T0812","MONDAY","HOME ELECTRONICS","207","14","6","3","5","0"
"T0812","MONDAY","HOME ELECTRONICS","57","2","2","0","0","0"
"T0812","MONDAY","HOME ELECTRONICS","56","1","1","0","0","0"
"T0812","MONDAY","HOME ELECTRONICS","8","15","12","1","2","0"
"T0812","MONDAY","KIDS APPAREL","202","204","19","37","147","1"
"T0812","MONDAY","KIDS APPAREL","76","242","162","39","31","10"
"T0812","MONDAY","KIDS APPAREL","205","13","11","1","1","0"
"T0812","MONDAY","KIDS APPAREL","222","5","4","0","0","1"
"T0812","MONDAY","KIDS APPAREL","32","232","127","61","34","10"
"T0812","MONDAY","KIDS APPAREL","326","227","129","23","41","34"
"T0812","MONDAY","KIDS APPAREL","36","413","21","283","109","0"
"T0812","MONDAY","KIDS APPAREL","46","57","12","25","20","0"
"T0812","MONDAY","KIDS APPAREL","75","2","1","0","1","0"
"T0812","MONDAY","MOBILE/SERVICES","57","90","65","25","0","0"
"T0812","MONDAY","MOBILE/SERVICES","80","655","537","0","110","8"
"T0812","MONDAY","NIT APPAREL","206","145","115","14","12","4"
"T0812","MONDAY","NIT APPAREL","31","388","172","207","3","6"
"T0812","MONDAY","NIT APPAREL","217","27","16","11","0","0"
"T0812","MONDAY","NIT APPAREL","327","14","0","0","6","8"
"T0812","MONDAY","NIT APPAREL","33","125","75","26","23","1"
"T0812","MONDAY","NIT APPAREL","330","49","36","13","0","0"
"T0812","MONDAY","PERFORMANCE","39","83","17","23","43","0"
"T0812","TUESDAY","READY-TO-WEAR","316","4","2","1","0","1"
"T0812","TUESDAY","READY-TO-WEAR","311","34","22","3","8","1"
"T0812","TUESDAY","READY-TO-WEAR","13","214","113","71","29","1"
"T0812","TUESDAY","READY-TO-WEAR","14","64","18","18","2","26"
"T0812","TUESDAY","READY-TO-WEAR","18","365","265","49","32","19"
"T0812","TUESDAY","READY-TO-WEAR","259","6","1","0","2","3"
"T0812","TUESDAY","READY-TO-WEAR","21","104","10","33","35","26"
"T0812","TUESDAY","READY-TO-WEAR","29","130","51","35","43","1"
"T0812","TUESDAY","SWIM","238","2","0","0","0","2"
"T0812","TUESDAY","YOUNG CONTEMPORARY","6","48","35","13","0","0"
"T0812","TUESDAY","YOUNG CONTEMPORARY","331","362","151","31","43","137"
"T0812","TUESDAY","YOUNG CONTEMPORARY","282","25","18","3","3","1"
"T0812","WEDNESDAY","ADULT BEVERAGES","213","224","27","114","83","0"
"T0812","WEDNESDAY","BABY","7","143","83","2","55","3"
"T0812","WEDNESDAY","BEAUTY","63","130","71","49","0","10"
"T0812","WEDNESDAY","BEAUTY","49","514","185","1","161","167"
"T0812","WEDNESDAY","DAIRY/FROZEN","284","52","0","0","32","20"
"T0812","WEDNESDAY","DAIRY/FROZEN","288","32","13","0","11","8"
"T0812","WEDNESDAY","DRY GROCERY","212","18","18","0","0","0"
"T0812","WEDNESDAY","DRY GROCERY","261","12","6","0","6","0"
"T0812","WEDNESDAY","HSHLD/PAPR","253","2","0","0","2","0"
"T0812","WEDNESDAY","HSHLD/PAPR","3","233","138","21","74","0"
"T0812","WEDNESDAY","MEAT","210","60","0","0","37","23"
"T0812","WEDNESDAY","MENS","40","537","359","128","30","20"
"T0812","WEDNESDAY","MENS","44","149","8","70","67","4"
"T0812","WEDNESDAY","MENS","43","468","206","31","101","130"
"T0812","WEDNESDAY","MENS","281","10","7","0","0","3"
"T0812","WEDNESDAY","MENS","42","110","29","69","12","0"
"T0812","WEDNESDAY","OTC","94","71","42","29","0","0"
"T0812","WEDNESDAY","OTC","245","147","147","0","0","0"
"T0812","WEDNESDAY","PERFORMANCE","41","65","30","22","7","6"
"T0812","WEDNESDAY","PETS","83","92","56","36","0","0"
"T0812","WEDNESDAY","SEASNL/OUTDR LIVING","9","178","0","92","82","4"
"T0812","WEDNESDAY","SEASNL/OUTDR LIVING","84","4","1","1","0","2"
"T0812","WEDNESDAY","SNACKS/BEV/CANDY","203","122","121","0","0","1"
"T0812","WEDNESDAY","SNACKS/BEV/CANDY","55","127","52","0","42","33"
"T0812","WEDNESDAY","STATIONERY","53","4701","2869","1445","387","0"
"T0812","WEDNESDAY","STATIONERY","81","4166","2807","977","382","0"
"T0812","THURSDAY","DECORATIVE HOME","249","16","1","0","10","5"
"T0812","THURSDAY","DECORATIVE HOME","324","282","159","65","58","0"
"T0812","THURSDAY","DECORATIVE HOME","74","16","0","2","11","3"
"T0812","THURSDAY","DECORATIVE HOME","54","204","0","37","167","0"
"T0812","THURSDAY","DECORATIVE HOME","65","1","0","0","1","0"
"T0812","THURSDAY","INT/HOS/SLEEP","214","10","10","0","0","0"
"T0812","THURSDAY","INT/HOS/SLEEP","22","170","68","48","54","0"
"T0812","THURSDAY","INT/HOS/SLEEP","25","559","345","179","30","5"
"T0812","THURSDAY","INT/HOS/SLEEP","23","361","132","50","179","0"
"T0812","THURSDAY","INT/HOS/SLEEP","20","218","64","105","48","1"
"T0812","THURSDAY","KITCHEN","200","8","7","1","0","0"
"T0812","THURSDAY","KITCHEN","70","105","40","42","23","0"
"T0812","THURSDAY","KITCHEN","72","3","0","3","0","0"
"T0812","THURSDAY","PERFORMANCE","214","223","134","35","54","0"
"T0812","THURSDAY","PERFORMANCE","309","61","8","34","12","7"
"T0812","THURSDAY","SHOES","77","324","177","34","92","21"
"T0812","THURSDAY","SHOES","93","255","58","66","123","8"
"T0812","THURSDAY","SHOES","98","255","147","1","23","84"
"T0812","THURSDAY","SHOES","96","149","14","27","64","44"
"T0812","THURSDAY","SPORTING GOODS","82","96","65","21","6","4"
"T0812","THURSDAY","SPORTING GOODS","88","178","0","0","117","61"
"T0812","THURSDAY","SPORTING GOODS","47","26","2","2","1","21"
"T0812","THURSDAY","SPORTING GOODS","91","169","4","0","110","55"
"T0812","THURSDAY","SPORTING GOODS","69","150","12","3","88","47"
"T0812","THURSDAY","TOYS","323","2","1","1","0","0"
"T0812","THURSDAY","TOYS","87","179","11","28","130","10"
"T0812","THURSDAY","TOYS","86","150","24","73","28","25"
"T0812","THURSDAY","TOYS","204","46","36","3","6","1"
"T0812","FRIDAY","BEAUTY","37","283","214","41","21","7"
"T0812","FRIDAY","COSMETICS","52","92","21","34","37","0"
"T0812","FRIDAY","DECORATIVE HOME","66","32","28","4","0","0"
"T0812","FRIDAY","DOMESTICS","62","772","470","238","47","17"
"T0812","FRIDAY","DOMESTICS","97","141","26","26","82","7"
"T0812","FRIDAY","DOMESTICS","64","634","478","63","88","5"
"T0812","FRIDAY","DOMESTICS","60","338","227","89","14","8"
"T0812","FRIDAY","DOMESTICS","68","246","166","51","29","0"
"T0812","FRIDAY","DOMESTICS","67","532","198","116","142","76"
"T0812","FRIDAY","JEWELRY/ACCESS","24","212","61","10","88","53"
"T0812","FRIDAY","JEWELRY/ACCESS","90","11","0","0","0","11"
"T0812","FRIDAY","JEWELRY/ACCESS","215","162","20","36","61","45"
"T0812","FRIDAY","JEWELRY/ACCESS","61","312","9","11","174","118"
"T0812","FRIDAY","STORAGE/UTILITY","85","291","58","52","180","1"
"","","","","25050","13000","5770","4780","1500"

Exported at: 02/13/2019 4:08:38 pm